keyword,kw_count
advanced degree,16
aws,21
bi,13
c,26
c/c++,0
c++,26
cfa,16
clear,26
cloud,55
collaboration,28
command line,1
concise,19
d3,10
data mining,44
database,63
decision forests,0
deep learning,19
etl,17
excellent communication,13
experience,1136
fast paced,10
geo,1
gtex,2
hadoop,73
hdfs,2
hive,33
interpersonal,24
java,60
jupyter notebook,1
large data,32
linux,22
machine_learning,NA
map reduce,2
matlab,21
natural language,31
neural networks,11
optimistic,2
pca,1
perl,7
phd,83
physics,40
pig,13
python,163
r,150
r shiny,3
restful api,1
risk management,26
ruby,5
sas,77
scala,43
sql,NA
sra,1
statistics,165
svm,7
tableau,35
unix,11
unsupervised,8
visualization,50
