keyword,kw_count
advanced degree,25
amazon web services,6
architect,14
aws,32
bachelor,42
bi,25
big data,80
business intelligence,15
business objects,0
c,46
c/c++,0
c++,57
calculus,3
cfa,2
clear,39
clojure,3
cloud,69
collaboration,33
command line,7
computer science,196
concise,9
d3,5
data cleansing,0
data engineer,5
data mining,75
data wrangling,2
database,33
decision forests,2
deep learning,75
es6,0
etl,37
excellent communication,26
experience,1173
facebook,5
fast paced,11
forecasting,33
full-stack,3
geo,1
ggplot2,0
git,10
gtex,0
hadoop,78
hdfs,5
health,121
hive,46
insight,7
interpersonal,22
java,79
javascript,7
json,4
jupyter notebook,2
keras,7
kpi,0
large data,47
lead,73
leader,15
linux,20
looker,15
machine learning,449
management,176
map reduce,4
marketing,90
master,51
matlab,25
matplotlab,0
model,94
modelling,13
natural language,47
neural networks,21
node.js,1
nosql,23
numpy,23
optimistic,0
pandas,30
pca,1
perl,3
phd,116
php,8
physics,48
pig,17
predictive,88
python,266
qlikview,4
quantitative,173
r,184
r shiny,2
relational database,3
reporting,51
research,315
restful api,0
risk management,9
ruby,11
sap,1
sas,40
scala,55
scikit,26
scipy,10
social networking,1
spark,94
sql,159
sra,0
srss,0
stack,24
stata,16
statistics,234
svm,6
tableau,28
tensorflow,42
twitter,37
unix,13
unstructured,35
unsupervised,14
visualization,49
